2018-11-09 15:08:27,680> initialize ; INFO - initializing run
2018-11-09 15:08:27,680> initialize ; INFO - Run Initiation (iso): 2018-11-09T20_08_27.679775+00_00
2018-11-09 15:08:27,680> initialize.variablelogging ; INFO - Plotted (? -- boolean) = 0 
2018-11-09 15:08:27,680> initialize.variablelogging ; INFO - Pre-reaction Temperature = 80:celsius
2018-11-09 15:08:27,680> initialize.variablelogging ; INFO - Tray Shake Rate 1 (After First Addition) = 900:RPM
2018-11-09 15:08:27,680> initialize.variablelogging ; INFO - Tray Shake Rate 2 (After FAH addition) = 1200:RPM
2018-11-09 15:08:27,680> initialize.variablelogging ; INFO - Reaction Temperature of Tray = 105:celsius
2018-11-09 15:08:27,680> initialize.variablelogging ; INFO - Duration held at final temperature = 12600:second
2018-11-09 15:08:27,680> initialize.variablelogging ; INFO - Wellcount 96
2018-11-09 15:08:27,680> initialize.variablelogging ; INFO - reagents preparation temperature = 75 Celsius
2018-11-09 15:08:27,680> initialize.variablelogging ; INFO - reagents preparation stir rate = 450 RPM
2018-11-09 15:08:27,680> initialize.variablelogging ; INFO - reagents preparation duration = 3600 seconds
2018-11-09 15:08:27,681> initialize.variablelogging ; INFO - reag2_target_conc_chemical2 = 2.4 M
2018-11-09 15:08:27,681> initialize.variablelogging ; INFO - reag2_target_conc_chemical3 = 3.0 M
2018-11-09 15:08:27,681> initialize.variablelogging ; INFO - reag3_target_conc_chemical2 = 12.6 M
2018-11-09 15:08:27,681> initialize.variablelogging ; INFO - reagents_prerxn_temperature = 45 Celsius
2018-11-09 15:08:27,681> initialize.variablelogging ; INFO - reagent_dead_volume = 3.0:mL
2018-11-09 15:08:27,681> initialize.prebuildvalidation ; INFO - User entry is configured correctly.  Proceeding with run
2018-11-09 15:08:28,301> initialize.expgenerator ; INFO - 1 : {'name': '1', 'chemicals': [1], 'concs': {'conc_chem1': 13.00964107329539}, 'preptemperature': 'null', 'prepstirrate': 'null', 'prepduration': 'null', 'prerxntemp': 45, 'preptempunits': 'celsius', 'prepstirunits': 'rpm', 'prepdurunits': 'seconds'}
2018-11-09 15:08:28,301> initialize.expgenerator ; INFO - 2 : {'name': '2', 'chemicals': [2, 3, 1], 'concs': {'conc_chem2': 2.4, 'conc_chem3': 3.0}, 'preptemperature': 75, 'prepstirrate': 450, 'prepduration': 3600, 'prerxntemp': 45, 'preptempunits': 'celsius', 'prepstirunits': 'rpm', 'prepdurunits': 'seconds'}
2018-11-09 15:08:28,301> initialize.expgenerator ; INFO - 3 : {'name': '3', 'chemicals': [3, 1], 'concs': {'conc_chem3': 12.6}, 'preptemperature': 75, 'prepstirrate': 450, 'prepduration': 3600, 'prerxntemp': 45, 'preptempunits': 'celsius', 'prepstirunits': 'rpm', 'prepdurunits': 'seconds'}
2018-11-09 15:08:28,302> initialize.expgenerator ; INFO - 5 : {'name': '5', 'chemicals': [5], 'concs': {'conc_chem5': 26.50445361720617}, 'preptemperature': 'null', 'prepstirrate': 'null', 'prepduration': 'null', 'prerxntemp': 22, 'preptempunits': 'celsius', 'prepstirunits': 'rpm', 'prepdurunits': 'seconds'}
2018-11-09 15:08:28,302> initialize.expgenerator ; INFO - 6 : {'name': '6', 'chemicals': [5], 'concs': {'conc_chem5': 26.50445361720617}, 'preptemperature': 'null', 'prepstirrate': 'null', 'prepduration': 'null', 'prerxntemp': 22, 'preptempunits': 'celsius', 'prepstirunits': 'rpm', 'prepdurunits': 'seconds'}
2018-11-09 15:08:28,302> initialize.rxnprng ; INFO - Making a total of 1 unique experiments on the tray
2018-11-09 15:08:28,302> initialize.rxnprng ; INFO - Initializing dataframe construction for experiment 1
2018-11-09 15:08:28,302> initialize.rxnprng ; INFO - Building reagent constraints for experiment 1 using reagents [[2, 3, 1], [5, 6]] for a total of 96 wells
2018-11-09 15:08:28,316> initialize.reagenttesting ; INFO - Reagent class passes inspection
2018-11-09 15:08:28,336> initialize.reagenttesting ; INFO - Reagent class passes inspection
2018-11-09 15:08:28,360> initialize.reagenttesting ; INFO - Reagent class passes inspection
2018-11-09 15:08:28,385> initialize.rxnprng ; INFO - Succesfully built experiment 1 which returned.... 
2018-11-09 15:08:28,396> initialize.rxnprng ; INFO - Begin combining the experimental volume dataframes
2018-11-09 15:08:54,151> initialize.googleio ; INFO - 2018-11-09T20_08_27.679775+00_00_LBL_LogFile.txt successfully uploaded to 2018-11-09T20_08_27.679775+00_00_LBL_subdata
2018-11-09 15:08:55,478> initialize.googleio ; INFO - localfiles/2018-11-09T20_08_27.679775+00_00_LBL_RobotInput.xls successfully uploaded to 2018-11-09T20_08_27.679775+00_00_LBL
2018-11-09 15:08:55,478> initialize.googleio ; INFO - localfiles/2018-11-09T20_08_27.679775+00_00_LBL_mmolbreakout.csv successfully uploaded to 2018-11-09T20_08_27.679775+00_00_LBL_subdata
2018-11-09 15:08:55,478> initialize.googleio ; INFO - localfiles/2018-11-09T20_08_27.679775+00_00_LBL_nominalMolarity.csv successfully uploaded to 2018-11-09T20_08_27.679775+00_00_LBL_subdata
2018-11-09 15:08:55,478> initialize.googleio ; INFO - localfiles/2018-11-09T20_08_27.679775+00_00_LBL_wf1runme.py successfully uploaded to 2018-11-09T20_08_27.679775+00_00_LBL_subdata
